band,hold,n,mean_short_pct,sd_pct,t_stat,diff_vs_ctrl_pct,net_after_cost_pct,rho_per_day_pct,pressure_med,adv_ratio_med_days,bal_adv_med_days
CTRL_zero,1,390507,0.00487,2.60545,1.168,0.0,-0.16643,-0.16643,0.0,0.0,1.9959
CTRL_zero,3,390482,0.01043,5.80384,1.122,0.0,-0.20347,-0.06782,0.0,0.0,1.9959
CTRL_zero,5,390463,-0.20767,7.14139,-18.171,0.0,-0.46417,-0.09283,0.0,0.0,1.9959
CTRL_zero,10,388574,-0.37195,9.99234,-23.204,0.0,-0.73495,-0.0735,0.0,0.0,1.9959
P0_50,1,160771,0.00216,2.69763,0.32,-0.00271,-0.16914,-0.16914,0.02084,0.0451,2.6718
P0_50,3,160762,-0.02137,4.70006,-1.823,-0.0318,-0.23527,-0.07842,0.02084,0.0451,2.6718
P0_50,5,160756,-0.23457,6.58625,-14.28,-0.02691,-0.49107,-0.09821,0.02084,0.0451,2.6718
P0_50,10,159954,-0.39701,9.03705,-17.57,-0.02506,-0.76001,-0.076,0.02084,0.0451,2.6718
P50_75,1,80148,0.02574,2.63571,2.765,0.02087,-0.14556,-0.14556,0.0925,0.1465,1.594
P50_75,3,80144,0.01419,4.2043,0.955,0.00376,-0.19971,-0.06657,0.0925,0.1465,1.594
P50_75,5,80137,-0.1825,5.56988,-9.275,0.02517,-0.439,-0.0878,0.0925,0.1465,1.594
P50_75,10,79731,-0.33061,7.9426,-11.754,0.04134,-0.69361,-0.06936,0.0925,0.1465,1.594
P75_90,1,47967,0.0189,2.47266,1.674,0.01403,-0.1524,-0.1524,0.21154,0.2292,1.0669
P75_90,3,47965,-0.04761,7.0481,-1.479,-0.05804,-0.26151,-0.08717,0.21154,0.2292,1.0669
P75_90,5,47963,-0.22423,8.19861,-5.99,-0.01656,-0.48073,-0.09615,0.21154,0.2292,1.0669
P75_90,10,47686,-0.33177,8.35304,-8.673,0.04018,-0.69477,-0.06948,0.21154,0.2292,1.0669
P90_95,1,15971,0.04789,2.38397,2.539,0.04302,-0.12341,-0.12341,0.4142,0.3401,0.8215
P90_95,3,15970,-0.00089,4.04248,-0.028,-0.01132,-0.21479,-0.0716,0.4142,0.3401,0.8215
P90_95,5,15970,-0.18794,5.23663,-4.535,0.01973,-0.44444,-0.08889,0.4142,0.3401,0.8215
P90_95,10,15905,-0.38181,7.66364,-6.283,-0.00986,-0.74481,-0.07448,0.4142,0.3401,0.8215
P95_100,1,15877,0.06959,2.37563,3.691,0.06472,-0.10171,-0.10171,0.83057,0.5652,0.5903
P95_100,3,15873,0.02528,4.02057,0.792,0.01486,-0.18862,-0.06287,0.83057,0.5652,0.5903
P95_100,5,15872,-0.17106,5.45779,-3.949,0.03661,-0.42756,-0.08551,0.83057,0.5652,0.5903
P95_100,10,15796,-0.30345,7.68231,-4.964,0.0685,-0.66645,-0.06665,0.83057,0.5652,0.5903
