code,date,lv,lv_hi,r1,mkt,exc,short_pnl
13800,2018-12-13,58000.0,0,-0.11048387096774193,-0.013359394662222523,-0.0971244763055194,0.0971244763055194
13820,2022-07-12,99300.0,0,-0.042597402597402634,0.0036491207693974434,-0.046246523366800074,0.046246523366800074
13820,2022-09-02,89600.0,0,0.059288537549407216,0.0011547294562890891,0.058133808093118126,-0.058133808093118126
14310,2019-08-26,101000.0,0,-0.010783907092492773,0.004523832584216647,-0.015307739676709418,0.015307739676709418
143A0,2024-09-09,195900.0,0,-0.048934490923441154,0.0034204356432138445,-0.052354926566655,0.052354926566655
14470,2020-06-29,2851400.0,1,0.008733624454148492,0.00300127788982589,0.005732346564322602,-0.005732346564322602
14470,2020-09-28,3735000.0,1,0.016049382716049276,0.005148709570681652,0.010900673145367624,-0.010900673145367624
15140,2022-12-09,15905900.0,1,0.0732984293193717,-0.0005144532839831344,0.07381288260335483,-0.07381288260335483
15140,2023-12-14,3367800.0,1,0.015717092337917515,0.005641911527782209,0.010075180810135306,-0.010075180810135306
15140,2024-01-18,3162600.0,1,-0.0823723228995058,0.004184283764218116,-0.08655660666372392,0.08655660666372392
153A0,2025-05-14,529500.0,0,-0.021917808219178103,-0.0037393881762163546,-0.01817842004296175,0.01817842004296175
155A0,2025-08-07,956700.0,1,-0.048484848484848464,0.00181037354760331,-0.05029522203245177,0.05029522203245177
17110,2018-01-04,601000.0,1,-0.06425992779783396,0.0057836134661525184,-0.07004354126398647,0.07004354126398647
17240,2018-08-21,403900.0,0,0.03392130257801895,0.01014930427219292,0.023771998305826034,-0.023771998305826034
17240,2019-05-24,455900.0,0,-0.030962343096234357,0.0051409230452722525,-0.03610326614150661,0.03610326614150661
17300,2017-11-27,218800.0,0,0.0798029556650246,-0.002766579102134115,0.08256953476715871,-0.08256953476715871
17300,2023-12-19,219900.0,0,-0.08452535760728219,0.0026657882131288814,-0.08719114582041107,0.08719114582041107
18400,2019-12-09,1039100.0,1,0.004255319148936065,0.0020814552676934636,0.0021738638812426017,-0.0021738638812426017
18400,2020-12-28,1470900.0,1,-0.010101010101010055,0.01405541392823551,-0.024156424029245567,0.024156424029245567
184A0,2025-06-10,293400.0,0,-0.0625,0.005253374531872012,-0.06775337453187201,0.06775337453187201
190A0,2024-08-01,2009800.0,1,0.020000000000000018,-0.051380174935575514,0.07138017493557552,-0.07138017493557552
198A0,2024-07-02,971600.0,1,-0.04603580562659848,0.0031479638517268567,-0.04918376947832534,0.04918376947832534
21440,2018-06-04,180400.0,0,-0.10286458333333337,-0.004292815293495614,-0.09857176803983776,0.09857176803983776
21440,2018-08-15,261500.0,0,-0.00327332242225864,-0.010278251292876307,0.007004928870617667,-0.007004928870617667
21500,2017-05-23,193100.0,0,-0.042735042735042694,0.008246943896903714,-0.050981986631946405,0.050981986631946405
21580,2020-06-10,4579500.0,1,-0.10011641443538999,-0.024634716860178013,-0.07548169757521198,0.07548169757521198
21580,2021-11-29,3447300.0,1,-0.16279069767441856,-0.007794539854898687,-0.15499615781951986,0.15499615781951986
21580,2025-08-04,4083400.0,1,0.019108280254777066,0.006070429904150661,0.013037850350626405,-0.013037850350626405
21600,2017-03-03,11269000.0,1,0.0354284434991885,0.0028404165135028905,0.03258802698568561,-0.03258802698568561
21600,2017-06-26,18007000.0,1,0.05956521739130438,0.004271501565362333,0.05529371582594205,-0.05529371582594205
21600,2020-08-27,4606100.0,1,-0.04617253948967193,-0.0158303898063255,-0.030342149683346427,0.030342149683346427
21620,2017-08-29,1307900.0,1,-0.013738959764474923,0.00453720471677783,-0.018276164481252754,0.018276164481252754
21640,2018-09-21,233900.0,0,0.04325468844525093,0.010916499738912892,0.03233818870633804,-0.03233818870633804
21640,2019-03-06,584700.0,1,-0.029826014913007515,-0.009222507460313438,-0.020603507452694077,0.020603507452694077
21760,2018-03-30,571300.0,1,-0.040000000000000036,-0.0012590502319500302,-0.03874094976805,0.03874094976805
218A0,2025-02-26,2526000.0,1,0.1490312965722802,0.004261017574490838,0.14477027899778935,-0.14477027899778935
21910,2018-10-04,2668600.0,1,-0.035502958579881616,-0.008065407640629452,-0.027437550939252164,0.027437550939252164
21910,2020-05-22,2616800.0,1,-0.09080717488789236,0.021460287517147483,-0.11226746240503985,0.11226746240503985
21950,2021-12-23,25500.0,0,-0.04028004219813941,0.0003124133928568368,-0.040592455590996245,0.040592455590996245
21950,2022-02-09,166300.0,0,-0.042607251050522765,0.006419795967601542,-0.049027047018124305,0.049027047018124305
21950,2022-09-05,128200.0,0,-0.04705882352941182,0.0013791670490475659,-0.048437990578459385,0.048437990578459385
21950,2022-12-01,508200.0,0,-0.01521216973578865,-0.009477447863913175,-0.0057347218718754745,0.0057347218718754745
219A0,2025-01-10,1368600.0,1,-0.003039513677811523,-0.0091063023594144,0.006066788681602877,-0.006066788681602877
23210,2025-08-15,4176200.0,1,-0.0505050505050505,0.008888930022484406,-0.059393980527534904,0.059393980527534904
23300,2017-07-11,5384500.0,1,0.015706806282722585,-0.0008035480639371077,0.016510354346659692,-0.016510354346659692
23300,2024-02-13,4095900.0,1,0.1333333333333333,-0.008986441046149549,0.14231977437948284,-0.14231977437948284
23340,2025-04-04,224000.0,0,-0.15306122448979587,-0.07454125109388521,-0.07851997339591066,0.07851997339591066
23340,2025-07-11,672400.0,1,0.11884057971014483,0.002173010357379468,0.11666756935276537,-0.11666756935276537
23340,2025-11-13,668900.0,1,-0.026200873362445365,-0.004660623624364924,-0.02154024973808044,0.02154024973808044
23420,2021-01-28,1946500.0,1,-0.08139534883720934,-0.013983437305656909,-0.06741191153155243,0.06741191153155243
23450,2020-03-05,175100.0,0,-0.13712416656183168,-0.035516165040535085,-0.10160800152129659,0.10160800152129659
23450,2022-03-30,1975200.0,1,0.03393213572854292,-0.003752348361734076,0.037684484090277,-0.037684484090277
23510,2017-05-26,744600.0,1,0.1410761154855642,0.0010128172005913411,0.14006329828497285,-0.14006329828497285
23510,2017-07-04,868400.0,1,0.03716216216216206,0.005683726237847331,0.03147843592431473,-0.03147843592431473
