code,date,r20,short_pnl,grp
13820,2022-09-02,0.46666666666666656,-0.058133808093118126,hatsudo
17240,2018-08-21,0.4652087475149105,-0.023771998305826034,hatsudo
18400,2019-12-09,0.4968152866242037,-0.0021738638812426017,hatsudo
21440,2018-08-15,0.4376470588235295,-0.007004928870617667,hatsudo
23450,2020-03-05,0.4286484543493889,0.10160800152129659,hatsudo
23450,2022-03-30,0.5090361445783131,-0.037684484090277,hatsudo
26730,2021-06-01,0.4140625,0.03723203141936782,hatsudo
26930,2017-12-01,0.4591346153846154,0.029805202123073006,hatsudo
26930,2019-11-05,0.449685534591195,0.025674086349217758,hatsudo
33580,2022-10-07,0.472,-0.23029458810424244,hatsudo
33900,2021-07-08,0.46153846153846145,0.06174357372054664,hatsudo
35360,2020-08-21,0.46902654867256643,-0.02698281091051009,hatsudo
36060,2017-07-27,0.42281879194630867,0.0038659262122834525,hatsudo
36240,2017-08-18,0.47553956834532385,-0.030451446166197684,hatsudo
36240,2018-04-02,0.5012510425354462,-0.00024666369511993974,hatsudo
36270,2018-07-27,0.4337078651685393,0.01801033084361094,hatsudo
36610,2017-02-13,0.4885786802030456,0.034593846439831266,hatsudo
36610,2018-07-23,0.4534336782690498,0.03010440976170441,hatsudo
36670,2017-06-06,0.44410569105691056,-0.07130748959153452,hatsudo
37100,2019-04-04,0.42088934850051696,-0.11581935282005017,hatsudo
37470,2019-08-22,0.40654205607476634,-0.2652383033865254,hatsudo
37470,2020-09-11,0.45905707196029777,0.018663000350361364,hatsudo
37470,2023-06-14,0.40175953079178894,0.020631393459457057,hatsudo
38530,2017-07-10,0.4545454545454546,0.022493954777351225,hatsudo
39330,2019-11-26,0.46923076923076934,-0.01871805094338351,hatsudo
39360,2024-10-17,0.4495412844036697,0.06867354547269842,hatsudo
39670,2018-01-24,0.498917748917749,0.05216427957595704,hatsudo
39680,2017-06-12,0.40907742509641043,0.029438603846996397,hatsudo
39870,2023-02-01,0.464102564102564,-0.036285114197993344,hatsudo
39910,2017-10-30,0.45744680851063824,0.04195656040487311,hatsudo
39960,2021-10-27,0.5162116040955631,-2.9115511708368083e-06,hatsudo
40110,2023-06-13,0.4973943254198032,0.04544559214740694,hatsudo
40220,2019-03-04,0.48991784914115,0.026359116354671443,hatsudo
40730,2024-06-20,0.48217054263565884,0.009185042268123495,hatsudo
41690,2021-10-21,0.4763231197771587,0.028041730112050876,hatsudo
41970,2024-01-24,0.4325744308231174,0.0031147754029082625,hatsudo
42880,2017-03-09,0.4416498993963782,-0.004848952110455381,hatsudo
44380,2023-11-24,0.44496487119437944,0.045357339165446306,hatsudo
45560,2020-02-04,0.44924406047516197,0.016661048632992045,hatsudo
45940,2019-01-21,0.5167464114832536,0.00459024301032224,hatsudo
47610,2024-04-08,0.503735325506937,0.014194306066901386,hatsudo
47640,2018-05-25,0.40121580547112456,-0.06337747542215995,hatsudo
48140,2022-06-20,0.49677419354838714,0.020091814389005116,hatsudo
48240,2018-01-24,0.4259259259259258,0.04021966582628911,hatsudo
48820,2024-07-29,0.4510250569476082,-0.12014759809251382,hatsudo
49350,2025-07-17,0.4372208436724567,0.024122676541022337,hatsudo
51320,2023-03-08,0.4239064610797969,0.03760387889098737,hatsudo
52160,2018-10-03,0.5135135135135136,0.0008649350543236477,hatsudo
52420,2024-05-31,0.503076923076923,-0.009035380790742904,hatsudo
52430,2023-02-16,0.47651006711409405,-0.004734855751255219,hatsudo
52430,2023-03-09,0.45488029465930024,0.01067840181186181,hatsudo
52440,2023-08-24,0.4072847682119205,-0.028881971121899875,hatsudo
53370,2020-09-09,0.4059829059829059,-0.015894155035091295,hatsudo
53810,2017-08-25,0.4748858447488584,0.05012447730396639,hatsudo
57810,2023-02-21,0.4238773274917853,0.0362728710609533,hatsudo
58170,2020-01-24,0.46153846153846145,0.02552267858733538,hatsudo
59860,2017-09-19,0.46153846153846145,0.04552181299622544,hatsudo
61950,2019-12-16,0.40552325581395343,-0.03695856154599917,hatsudo
62270,2023-11-28,0.4804974561899378,-0.004413718181368929,hatsudo
63120,2025-07-25,0.5006711409395974,-0.01098855688616978,hatsudo
66180,2017-09-21,0.49864130434782616,0.04304907902690989,hatsudo
66350,2021-01-04,0.45620437956204385,0.033241595773219314,hatsudo
