code,date,sh,lv,r,mkt,exc,short_pnl
13320,2017-03-22,0.023580195038286456,1854600.0,0.007067137809187329,-3.712469802140774e-05,0.007104262507208737,-0.007104262507208737
13320,2017-05-18,0.04366441063962079,1599900.0,-0.008547008547008517,0.0043268741575923485,-0.012873882704600865,0.012873882704600865
13320,2017-08-18,0.025836236765302778,2333500.0,-0.015898251192368873,0.00026527738329038306,-0.016163528575659256,0.016163528575659256
13320,2017-11-30,0.04388997507166703,7156100.0,-0.016286644951140072,0.0011846950579180143,-0.017471340009058086,0.017471340009058086
13320,2017-12-05,0.02447070133134377,6690600.0,-0.02006688963210701,-0.009362099612107532,-0.010704790019999478,0.010704790019999478
13320,2018-02-05,0.027371255573843678,12217800.0,-0.038596491228070184,-0.062110579276357186,0.023514088048287002,-0.023514088048287002
13320,2018-02-06,0.0471706116908458,12217800.0,-0.009124087591240837,0.006262548426451836,-0.015386636017692672,0.015386636017692672
13320,2018-02-09,0.042310385713408616,13568100.0,0.0,-0.006843292807647232,0.006843292807647232,-0.006843292807647232
13320,2018-03-23,0.02769925747595925,8913200.0,0.0018939393939394478,-6.292748994153549e-05,0.0019568668838809834,-0.0019568668838809834
13320,2018-03-26,0.03291497112178998,8913200.0,0.03591682419659725,0.019951628020198398,0.015965196176398855,-0.015965196176398855
13320,2018-03-28,0.037794388162018744,8913200.0,0.014787430683918634,0.006869856498085921,0.007917574185832714,-0.007917574185832714
13320,2018-04-03,0.03904734268578014,8285000.0,0.012589928057553879,0.0034952673031881784,0.0090946607543657,-0.0090946607543657
13320,2018-04-09,0.030638036325560503,8132700.0,-0.003490401396160525,0.0015576146736819717,-0.005048016069842497,0.005048016069842497
13320,2018-04-20,0.04308742737035487,7410500.0,-0.01018675721561968,0.0012950068633553384,-0.011481764078975018,0.011481764078975018
13320,2018-06-26,0.031334763630561646,11254600.0,-0.0036496350364964014,0.002333111406199319,-0.005982746442695721,0.005982746442695721
13320,2018-06-28,0.024666277220814048,11254600.0,0.003676470588235281,0.004303236467047832,-0.000626765878812551,0.000626765878812551
13320,2018-07-12,0.02589909933503365,10374500.0,0.01538461538461533,0.006173997139306219,0.00921061824530911,-0.00921061824530911
13320,2018-08-13,0.024664167365311074,6115500.0,0.017421602787456525,0.012082398686165693,0.005339204101290832,-0.005339204101290832
13320,2019-06-17,0.02612452374751162,1381200.0,0.0,-0.011685236027764974,0.011685236027764974,-0.011685236027764974
13320,2019-08-01,0.03223701962222403,1467700.0,-0.019033674963396807,-0.019988321206468016,0.000954646243071209,-0.000954646243071209
13320,2019-08-06,0.04360973094963683,1495800.0,-0.05076923076923079,0.0013628742028377835,-0.05213210497206857,0.05213210497206857
13320,2019-08-15,0.031631374968809634,1641500.0,0.0,0.0007853938124701205,-0.0007853938124701205,0.0007853938124701205
13320,2019-08-26,0.04355760959972721,1746500.0,-0.01170568561872909,0.004523832584216647,-0.016229518202945735,0.016229518202945735
13320,2019-10-09,0.031167493877039765,2135100.0,0.013157894736842035,-0.005161667501426163,0.018319562238268198,-0.018319562238268198
13320,2020-01-28,0.03906905963041696,3045500.0,0.011647254575707144,-0.0016609936208809874,0.013308248196588131,-0.013308248196588131
13320,2020-02-03,0.03549412295725618,2864300.0,-0.020134228187919434,0.010048873461454493,-0.030183101649373927,0.030183101649373927
13320,2020-02-10,0.02371129058332544,2485700.0,0.0,0.00032770119941702154,-0.00032770119941702154,0.00032770119941702154
13320,2020-02-25,0.047497456989589515,2318100.0,-0.0368421052631579,-0.010898769037217104,-0.025943336225940795,0.025943336225940795
13320,2020-02-26,0.030601308947146855,2318100.0,-0.02003642987249543,-0.03216969330700206,0.01213326343450663,-0.01213326343450663
13320,2020-02-28,0.04645842968444269,2465600.0,0.03522504892367917,0.03533432152935207,-0.00010927260567290126,0.00010927260567290126
13320,2020-03-04,0.03405498813337826,2465600.0,0.0059055118110236116,0.002397132168066221,0.0035083796429573907,-0.0035083796429573907
13320,2020-03-06,0.03103534293664112,2641900.0,-0.07113821138211385,-0.07330960414944887,0.002171392767335023,-0.002171392767335023
13320,2020-03-10,0.08337597094366245,2641900.0,-0.0021276595744680327,-0.021367289002221887,0.019239629427753854,-0.019239629427753854
