code,date,sp1,sp3,sp5
13800,2018-12-13,0.0971244763055194,0.10128611727714473,0.17179071589902623
13820,2022-07-12,0.046246523366800074,0.06176450805431869,0.09263575162451868
13820,2022-09-02,-0.058133808093118126,-0.03520248921898225,0.005526446542277177
14310,2019-08-26,0.015307739676709418,-0.2008370434763906,-0.13047371097330593
143A0,2024-09-09,0.052354926566655,0.09549495209733626,0.1622780836641087
14470,2020-06-29,-0.005732346564322602,0.07891340479880987,0.058340585321843594
14470,2020-09-28,-0.010900673145367624,0.04844874062014887,0.02653163435224224
15140,2022-12-09,-0.07381288260335483,-0.08127853896036885,-0.10918739447076437
15140,2023-12-14,-0.010075180810135306,-0.03132048711469211,-0.06396713820041627
15140,2024-01-18,0.08655660666372392,0.0006818176853503506,0.019508491768816458
153A0,2025-05-14,0.01817842004296175,0.03637428287195978,0.051256702659730355
155A0,2025-08-07,0.05029522203245177,0.02211774788179859,0.06182829169293255
17110,2018-01-04,0.07004354126398647,0.09696753109932009,0.07534054302234675
17240,2018-08-21,-0.023771998305826034,-0.01960241463012764,-0.052442531810825414
17240,2019-05-24,0.03610326614150661,0.10030667623529517,0.14006679006052702
17300,2017-11-27,-0.08256953476715871,0.06550697971950704,0.1542129199652356
17300,2023-12-19,0.08719114582041107,0.21568362283660766,0.2599311339898617
18400,2019-12-09,-0.0021738638812426017,0.025965650056476913,0.018947111369157957
18400,2020-12-28,0.024156424029245567,-3.370617578461223e-05,0.020877894035277827
184A0,2025-06-10,0.06775337453187201,0.14956861799458251,0.19228219572539354
190A0,2024-08-01,-0.07138017493557552,-0.24562012503368336,-0.2680017376174088
198A0,2024-07-02,0.04918376947832534,0.04194515440745088,0.002329831743181121
21440,2018-06-04,0.09857176803983776,0.10709221193254993,0.03681372194179158
21440,2018-08-15,-0.007004928870617667,0.04324939243162532,-0.024100104304237122
21500,2017-05-23,0.050981986631946405,0.11383575530962436,0.18338244879350382
21580,2020-06-10,0.07548169757521198,0.12495680969093939,0.11646187976038452
21580,2021-11-29,0.15499615781951986,0.2697223669150606,0.3
21580,2025-08-04,-0.013037850350626405,-0.01756039738818644,0.005483825809428397
21600,2017-03-03,-0.03258802698568561,-0.19146600188773985,-0.3
21600,2017-06-26,-0.05529371582594205,-0.06555972148749747,-0.05173887627488405
21600,2020-08-27,0.030342149683346427,-0.08503543814785808,-0.11320367907975643
21620,2017-08-29,0.018276164481252754,0.02207295753224598,0.11796460512178629
21640,2018-09-21,-0.03233818870633804,-0.01852404622056738,-0.010965003949358888
21640,2019-03-06,0.020603507452694077,-0.01011878937567385,0.03982875896272967
21760,2018-03-30,0.03874094976805,0.1562515251039139,0.17512192684735883
218A0,2025-02-26,-0.14477027899778935,-0.049928768216423176,-0.05787541223303757
21910,2018-10-04,0.027437550939252164,0.06216908133019629,0.07476119958444458
21910,2020-05-22,0.11226746240503985,0.009511574701209231,-0.20557389900502782
21950,2021-12-23,0.040592455590996245,0.17518223772780822,0.3
21950,2022-02-09,0.049027047018124305,0.12149550162790364,0.18870782028756486
21950,2022-09-05,0.048437990578459385,0.11299086009769928,0.09325945652634163
21950,2022-12-01,0.0057347218718754745,-0.018733209196349684,0.007892231448778722
219A0,2025-01-10,-0.006066788681602877,-0.07083050116266891,0.02165271256551284
23210,2025-08-15,0.059393980527534904,-0.00431462844048012,0.08904939285317266
23300,2017-07-11,-0.016510354346659692,-0.018167469991813158,-0.14477838949252758
23300,2024-02-13,-0.14231977437948284,0.0706775235900975,-0.2325867819608584
23340,2025-04-04,0.07851997339591066,0.11797694765168248,0.06662305657846163
23340,2025-07-11,-0.11666756935276537,-0.026603139686584783,0.05068404432371949
23340,2025-11-13,0.02154024973808044,0.02121693047151583,0.04130380262486316
23420,2021-01-28,0.06741191153155243,-0.026416185033155133,0.011030318523052531
23450,2020-03-05,0.10160800152129659,0.2514021624502886,-0.006552160705177806
23450,2022-03-30,-0.037684484090277,-0.029515957953504153,0.026569530313849662
23510,2017-05-26,-0.14006329828497285,-0.12005487674968997,0.14651557192408293
23510,2017-07-04,-0.03147843592431473,0.04451403856115186,-0.05066986024684196
23700,2020-06-03,0.04575496973492404,-0.0741541953736268,-0.12829159987527322
23700,2021-06-23,0.034643169554103855,0.11108129884511198,0.13027339539223273
